,Unnamed: 0,Unnamed: 1,Unnamed: 2
0,,,MIPOLAM ACCORD
1,DESCRIPTION,,
2,Epaisseur totale EN ISO 24346,,mm  2.00
3,Poids EN ISO 23997,,g/m2  2790
4,Largeur des lés EN ISO 24341,,cm  200
5,Longueur des lés EN ISO 24341,,ml  20
6,Format des dalles EN ISO 24342,,mm  608 x 608
7,Nombre de dalles par boîte -,,-   20
8,CLASSIFICATION,,
9,Norme / Spécification produit -,,-  EN ISO 10581
10,Classement européen EN ISO 10874,,classe  34 - 43
11,Classement  UPEC -,,classement  U4P3E2/3C2
12,Certification  QB 30,,n° certificat   332-005.1
13,Réaction au feu EN 13 501-1,,classe  Bfl-s1
14,Potentiel de charge EN 1815,,kV  < 2
15,EN 16165:2021 –,,
16,Glissance Appendix B,,classe R9
17,(DIN 51 130),,
18,PERFORMANCE,,
19,Teneur en agent liant EN ISO 10581,,type  I
20,Groupe d'abrasion NF EN 660-2,,P
21,,,lès  ≤ 0.40
22,Stabilité dimensionnelle  EN ISO 23999,,%
23,,,dalles ≤ 0.25
24,Isolation acoustique aux bruits de,,
25,EN ISO 717-2,,dB 5
26,choc,,
27,Poinçonnement statique,,
28,EN ISO 24343-1,,mm < 0.10
29,rémanent (norme),,
30,Poinçonnement statique rémanent,,
31,,,mm  ~ 0.02
32,(valeur moyenne mesurée),,
33,Essai de la chaise à roulettes,,
34,ISO 4918,,-  OK
35,(type H),,
36,Conductivité thermique EN ISO 10456,,W/(m.K)  0.25
37,Solidité lumière EN ISO 105 – B02,,degré  ≥ 6
38,Traitement de surface -,,-  EvercareTM
39,Résistance aux produits chimiques,,
40,EN ISO 26987,,classe  OK
41,(1),,
42,Activité anti-bactérienne (E. coli –,,> 99 %
43,ISO 22196,,-
44,S. aureus – MRSA) (2),,ne favorise pas la prolifération
45,ENVIRONNEMENT / QUALITE DE L’AIR,,
46,TVOC après 28 j ISO 16000-6,,μg/ m3 <  10
47,Certification,,Floorscore®
48,MARQUAGE CE,,
49,,,
50,,,-
51,,,
52,EN 14041,,
53,,,
54,,,
55,,,-
