,Unnamed: 0,CREATION 40 RIGID ACOUSTIC,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,CREATION 40 RIGID ACOUSTIC,,,,
1,DESCRIPTION,,,,,
2,,ESCRIPTION,,,,
3,Épaisseur totale,EN ISO24346,mm,5.7,,
4,Épaisseur couche d’usure,EN ISO24340,mm,0.4,,
5,Poids,EN ISO 23997,g/m2,7000,,
6,Format,EN ISO 24342,mm,229 X 1250,399 X 730,229 X 1492
7,Nombre de lames / dalles et m2 par boîte,-,-,7 / 2.0 m2,7 / 2.04 m2,7 / 2.39 m2
8,CLASSIFICATION,,,,,
9,,LASSIFICATION,,,,
10,Norme,-,-,EN ISO 10582,,
11,Classement européen,EN ISO 10874,classe,23 – 32 - 41,,
12,Classement Feu,EN 13 501-1,classe,Bfl-s1,,
13,Potentiel de charge,EN 1815,kV,< 2,,
14,Glissance humide (1),DIN 51130,classe,R10,,
15,,ERFORMANCES,,,,
16,Résistance à l’usure,EN 660.2,mm3,<   2.0,,
17,Groupe d’abrasion,-,-,T,,
18,Teneur en agent liant,EN ISO 10582,type,I,,
19,Stabilité dimensionnelle (norme),EN ISO 23999,%,≤ 0.15,,
20,Stabilité dimensionnelle (valeur moyenne mesurée),-,%,≤ 0.10,,
21,Poinçonnement statique rémanent,EN ISO 24343-1,mm,≤ 0.10,,
22,Isolation acoustique bruits de chocs,EN ISO 717-2,dB,19,,
23,Sonorité à la marche,NF S 31074,dB,80,,
24,Essai de la chaise à roulettes (type H),ISO 4918,-,OK,,
25,Conductivité thermique,EN ISO 10456,W/(m.K),0.25,,
26,Solidité lumière,EN 105 - B02,degré,≥ 6,,
27,Traitement de surface,-,-,ProtecshieldTM,,
28,Résistance aux produits chimiques,EN ISO 26987,-,OK,,
29,ENVIRONNEMENT/QUALITE DE L’AIR INTERIEUR,,,,,
30,NVIRONNEMENT/QUALITE DE L’AIR INTERIEUR,,,,,
31,TVOC après 28 jours,ISO 16000-6,μg/ m3,<  10,,
32,MARQUAGE CE,,,,,
33,ARQUAGE CE,,,,,
34,,EN 14041,-,,,
35,-,,,,,
